category,product_code,pos_code,pos_code_flag,description
Fruit,4503296,00000493,,SWEET PASSION FRUIT
Fruit,4503297,00000501,,UGURESSA
Fruit,4510199,00008511,,WELI ATHA
Fruit,4503298,00000507,,WOODAPPLE
Vege Low,4504039,00002537,,AMBARELLA
Vege Low,4504012,00002363,,ASH PLANTAINS
Vege Low,4504013,00002365,,ASH PUMPKIN
Vege Low,4503762,00001730,,BATANA
Vege Low,4503211,00000269,,BIG ONIONS
Vege Low,4512908,00014806,,BIG ONIONS (MYANMAR) KG
Vege Low,4503214,00000277,,BIG ONIONS PREMIUM
Vege Low,4504015,00002377,,BITTER GOURD
Vege Low,4503610,00001425,,BREAD FRUIT
Vege Low,4504016,00002384,,BRINJALS
Vege Low,4503974,00002097,,CHIVES
Vege Low,4503775,00001818,,COCONUTS
Vege Low,4504036,00002505,,CORN
Vege Low,4504017,00002387,,CUCUMBER
Vege Low,4504018,00002392,,CURRY LEAVES
Vege Low,4504019,00002403,,DAMBALA
Vege Low,4504020,00002413,,DRUMSTICKS
Vege Low,4503763,00001735,,EGG PLANTS
Vege Low,4503212,00012393,,GARLIC
Vege Low,4503216,00000293,,GARLIC PREMIUM PACK
Vege Low,4504021,00002417,,GINGER
Vege Low,4503764,00001739,,GREEN CHILIES
Vege Low,4503765,00001741,,GREEN CUCUMBER
Vege Low,4503766,00001745,,INNALA
Vege Low,4504022,00002424,,KEKIRI
Vege Low,4504023,00002425,,KIRIALA
Vege Low,4503602,00001384,,KOCHCHI MIRIS
Vege Low,4504024,00002433,,KOHILA
Vege Low,4504026,00002445,,LADIES FINGERS
Vege Low,4504027,00002453,,LEMON
Vege Low,4504028,00002458,,LEMON GRASS
Vege Low,4504029,00002459,,LIME
Vege Low,4503767,00001755,,LONG BEANS
Vege Low,4504030,00002462,,LOTUS YAM
Vege Low,4503603,00001385,,MANGO CURRY
Vege Low,4503604,00001388,,MANIOC
Vege Low,4503768,00001765,,MINI PUMPKIN
Vege Low,4503605,00001396,,NI MIRIS
Vege Low,4504031,00002472,,NIVITHI
Vege Low,4512389,00014731,,ODD-CUCUMBER
Vege Low,4503769,00001771,,ONION FLOWERS
Vege Low,4503770,1779,,ONION LEAVES
Vege Low,4504032,00002479,,PLANTAIN FLOWER
Vege Low,4507849,00000440,,POLOS
Vege Low,4509701,00006453,,POLOS KG
Vege Low,4504033,00002490,,PUMPKIN
Vege Low,4503606,00001403,,RAJALA
Vege Low,4503771,00001787,,RED ONIONS
Vege Low,4503215,00000288,,RED ONIONS PREMIUM PACK
Vege Low,4504034,00002494,,RIBBED GOURD
Vege Low,4504035,00002499,,SNAKE GOURD
Vege Low,4515933,,MISSING,SPAR FRESH CHOICE SWEET CORN
Vege Low,4507097,00001268,,Sweet corn
Vege Low,4503772,00001797,,SWEET POTATO
Vege Low,4503607,00001409,,TAMARIND
Vege Low,4503773,00001803,,THALANA BATU
Vege Low,4504037,00002516,,THUMBA KARAWILA
Vege Low,4504038,00002526,,TIB BATU
Vege Pola,4503608,00001411,,AGUNA LEAVES
Vege Pola,4503613,00001445,,GOTUKOLA
Vege Pola,4503601,00001383,,JAPAN BATU KOLA
Vege Pola,4503615,00001461,,KALAWAN PALA
Vege Pola,4503616,00001470,,KANKUN
Vege Pola,4503617,00001480,,KATHURUMURUNGA
Vege Pola,4503619,00001482,,KOHILA DALU
Vege Pola,4509700,#N/A,NA,KOHILA LEAVES
Vege Pola,4503626,00001514,,MUKUNUWENNA
Vege Pola,4503632,,MISSING,RANAWARA
Vege Pola,4503633,00001560,,SARANA
Vege Pola,4503634,00001565,,THAMPALA
Vege Pola,4503635,00001574,,THEBBU
Vege Up,4503958,00001913,,BABY CARROTS
Vege Up,4503959,00001924,,BABY POTATOES
Vege Up,4507826,00000443,,BEEF TOMATO
Vege Up,4503947,00001837,,BEETROOT
Vege Up,4503962,00001946,,BELL PEPPER GREEN
Vege Up,4503963,00001965,,BELL PEPPER RED
Vege Up,4503964,00001969,,BELL PEPPER YELLOW
Vege Up,4503965,00001975,,BROCCOLI
Vege Up,4503966,00002033,,BUTTER BEANS
Vege Up,4503948,00001845,,CABBAGE
Vege Up,4503969,00002062,,CABBAGE LEAVES
Vege Up,4503949,00001850,,CAPSICUM
Vege Up,4503950,00001860,,CARROTS
Vege Up,4503970,00002069,,CAULIFLOWER
Vege Up,4503971,00002078,,CELERY
Vege Up,4503972,00002082,,CHERRY TOMATO
Vege Up,4503973,00002091,,CHINESE CABBAGE
Vege Up,4503975,00002104,,CHOW CHOW
Vege Up,4503976,00002106,,CORIANDER LEAVES
Vege Up,4512940,00018660,,Cut Beetroot
Vege Up,4503977,00002112,,FRESH BASIL LEAVES
Vege Up,4503978,00002122,,FRESH DILL LEAVES
Vege Up,4503979,00002130,,FRESH FENNEL LEAVES
Vege Up,4503980,00002138,,FRESH LEMON BASIL
Vege Up,4509339,00005494,,FRESH ORIGANO
Vege Up,4503981,00002146,,FRESH ROSEMARY
Vege Up,4503982,00002148,,FRESH TARRAGON
Vege Up,4503983,00002149,,FRESH THYME
Vege Up,4503951,00001869,,GREEN BEANS
Vege Up,4503984,00002154,,GREEN HOUSE TOMATOES
Vege Up,4503985,00002155,,GREEN OAK LETTUCE
Vege Up,4504003,00002281,,GREEN ZUCCHINI
Vege Up,4503986,00002157,,ICEBERG (LETTUCE)
Vege Up,4503987,00002164,,JAPANESE LEEKS
Vege Up,4503952,00001874,,KNOL KHOL
Vege Up,4503988,00002174,,KOREAN (LONG) RADDISH
Vege Up,4503953,00001881,,LEEKS
Vege Up,4503954,00001883,,LOCAL POTATOES
Vege Up,4513096,,MISSING,LOCAL POTATOES - LARGE PACK
Vege Up,4503213,00000271,,LOCAL POTATOES PREMIUM PACK
Vege Up,4503990,00002193,,MINCHI LEAVES
Vege Up,4512394,00014737,,ODD-BELL PEPPER MIX
Vege Up,4512395,00014738,,ODD-CAPSICUM
Vege Up,4512387,00014729,,ODD-CARROT
Vege Up,4512391,00014734,,ODD-POTATOES
Vege Up,4512393,00014736,,ODD-SALAD CUCUMBER
Vege Up,4512388,00014730,,ODD-TOMATOES
Vege Up,4503991,00002200,,PAKCHOI
Vege Up,4503992,00002211,,PARSLEY
Vege Up,4510926,00009735,,POTATOES
Vege Up,4503955,00001890,,RADDISH
Vege Up,4503993,00002221,,RED BUTTER LETTUCE
Vege Up,4503994,00002229,,RED CABBAGE
Vege Up,4503995,00002234,,RED LONG RADDISH
Vege Up,4503996,00002240,,RED RADDISH
Vege Up,4503997,00002250,,RED SALAD LEAVES
Vege Up,4503998,00002257,,RHUBARB
Vege Up,4503999,00002263,,ROCKET LETTUCE
Vege Up,4503956,00001891,,SALAD CUCUMBER
Vege Up,4504000,00002266,,SALAD LEAVES
Vege Up,4504011,00002352,,TOMATOES
Vege Up,4504001,00002268,,TREE TOMATO
Vege Up,4504002,00002273,,YELLOW ZUCCHINI
